"","COMPNOS","NatureCode","INCIDENT_TYPE_DESCRIPTION","MAIN_CRIMECODE","REPTDISTRICT","REPORTINGAREA","FROMDATE","WEAPONTYPE","Shooting","DOMESTIC","SHIFT","Year","Month","DAY_WEEK","UCRPART","X","Y","STREETNAME","XSTREETNAME","Location"
"4701",120469840,"BERPT ","RESIDENTIAL BURGLARY","05RB","B2",181,"07/27/2012 05:00:00 PM","Other","No","No","First",2012,7,"Friday","Part One",772371.45453052,2944066.51238693,"NORFOLK AV","","(42.32586556, -71.07027752)"
"4702",120469626,"BEIP  ","RESIDENTIAL BURGLARY","05RB","A1",74,"07/30/2012 04:37:00 AM","Unarmed","No","No","Last",2012,7,"Monday","Part One",773918.16600403,2957759.46826869,"LONGFELLOW PL","","(42.36341788, -71.06429926)"
"4703",120469440,"BEIP  ","RESIDENTIAL BURGLARY","05RB","B3",452,"07/30/2012 01:00:00 AM","Unarmed","No","No","Last",2012,7,"Monday","Part One",770918.08637426,2933009.81402794,"THANE ST","","(42.29554541, -71.07585526)"
"4704",120469157,"BERPT ","RESIDENTIAL BURGLARY","05RB","E13",946,"07/29/2012 07:50:00 PM","Other","No","No","First",2012,7,"Sunday","Part One",760246.40791451,2936600.14969502,"METCALF CT","","(42.30553636, -71.11523955)"
"4705",120469068,"BERPT ","RESIDENTIAL BURGLARY","05RB","A1",111,"07/29/2012 07:45:00 PM","Other","No","No","First",2012,7,"Sunday","Part One",774867.50531269,2954717.1492221,"WASHINGTON ST","","(42.35505634, -71.06084456)"
"4706",120468808,"BERPT ","RESIDENTIAL BURGLARY","05RB","A1",111,"07/22/2012 07:30:00 AM","Other","No","No","Day",2012,7,"Sunday","Part One",774867.50531269,2954717.1492221,"WASHINGTON ST","","(42.35505634, -71.06084456)"
"4707",120468690,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",944,"07/26/2012 08:00:00 PM","Unarmed","No","No","First",2012,7,"Thursday","Part One",768349.26998961,2930926.43072753,"AMES ST","","(42.28986314, -71.08538741)"
"4708",120468276,"ARREST","RESIDENTIAL BURGLARY","05RB","E18",481,"07/29/2012 01:00:00 PM","Other","No","No","Day",2012,7,"Sunday","Part One",764448.57405085,2922107.65013677,"RECTOR RD","","(42.26571491, -71.09995654)"
"4709",120467184,"BEIP  ","RESIDENTIAL BURGLARY","05RB","D4",150,"07/28/2012 10:25:00 PM","Other","No","No","First",2012,7,"Saturday","Part One",771382.45847702,2951037.97186918,"DARTMOUTH PL","","(42.3450091, -71.07380592)"
"4710",120467076,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",250,"07/28/2012 09:00:00 AM","Unarmed","No","No","Day",2012,7,"Saturday","Part One",777897.13508018,2938920.98166752,"GRAMPIAN WY","","(42.31166781, -71.04994445)"
"4711",120466959,"LARCRT","RESIDENTIAL BURGLARY","05RB","D4",620,"07/28/2012 10:30:00 AM","Other","No","No","Day",2012,7,"Saturday","Part One",767209.0754196,2951535.80158219,"HEMENWAY ST","","(42.34643135, -71.08923455)"
"4712",120466841,"IVPREM","RESIDENTIAL BURGLARY","05RB","D14",774,"07/28/2012 05:15:00 PM","Unarmed","No","No","First",2012,7,"Saturday","Part One",749751.12542744,2949243.52204601,"LOTHIAN RD","","(42.3403538, -71.15384822)"
"4713",120466798,"BERPT ","RESIDENTIAL BURGLARY","05RB","B2",297,"07/28/2012 06:52:00 PM","Unarmed","No","No","First",2012,7,"Saturday","Part One",768579.87517143,2942727.14597119,"ROCKLAND ST","","(42.32224185, -71.0843226)"
"4714",120466796,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",362,"07/28/2012 12:00:00 PM","Unarmed","No","No","Day",2012,7,"Saturday","Part One",772498.78662493,2932376.68898186,"MELVILLE AV","","(42.29378636, -71.07002457)"
"4715",120466629,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",774,"07/28/2012 05:15:00 PM","Unarmed","No","No","First",2012,7,"Saturday","Part One",749751.12542744,2949243.52204601,"LOTHIAN RD","","(42.3403538, -71.15384822)"
"4716",120466265,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",432,"07/28/2012 12:00:00 AM","Other","No","No","Last",2012,7,"Saturday","Part One",768591.39581769,2928871.61331485,"MASCOT ST","","(42.28422136, -71.08452955)"
"4717",120466089,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",773,"07/28/2012 03:30:00 AM","Unarmed","No","No","Last",2012,7,"Saturday","Part One",748694.47793443,2949352.61434752,"RADNOR RD","","(42.34066486, -71.15775491)"
"4718",120465812,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",215,"07/28/2012 12:30:00 AM","Other","No","No","Last",2012,7,"Saturday","Part One",777618.97782811,2947563.17862193,"W 6TH ST","","(42.33538635, -71.05080456)"
"4719",120465733,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",214,"07/27/2012 11:00:00 PM","Other","No","No","First",2012,7,"Friday","Part One",777846.56037819,2948244.03454369,"E ST","","(42.33725135, -71.04994957)"
"4720",120465565,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",794,"07/27/2012 11:00:00 PM","Other","No","No","First",2012,7,"Friday","Part One",754772.18067403,2952503.45614293,"GLENVILLE AV","","(42.34924177, -71.13522491)"
"4721",120465029,"BEIP  ","RESIDENTIAL BURGLARY","05RB","B3",466,"07/27/2012 11:18:00 PM","Other","No","No","First",2012,7,"Friday","Part One",765966.68190702,2929333.88207535,"GREENDALE RD","","(42.28552453, -71.09422102)"
"4722",120464761,"BERPT ","RESIDENTIAL BURGLARY","05RB","E18",503,"07/27/2012 10:15:00 PM","Other","No","No","First",2012,7,"Friday","Part One",761883.57360343,2930148.74035376,"CANTERBURY ST","","(42.28781286, -71.10929662)"
"4723",120464363,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",787,"07/27/2012 08:00:00 AM","Unarmed","No","No","Day",2012,7,"Friday","Part One",751341.98018536,2949209.05164252,"SUTHERLAND RD","","(42.34024135, -71.14796453)"
